document,summary
"b'the french government and an alliance of european cosmetics companies have taken legal action to stop a european union ban on using animals to test cosmetics as of #### , eu officials said tuesday .'",b'france eu cosmetics firms seek to block eu ban on UNK cosmetics'
"b""a ##-year-old boy fatally shot one sheriff 's deputy and seriously wounded another outside his home , and police believed they had cornered him , authorities said .""",b'##-year-old boy sought in shooting that left # indiana deputy dead and another wounded'
b'syrian president hafez al-assad accused israel of hampering the peace process between the two countries and called on the united states to intensify its diplomatic efforts to secure an agreement .',b'syrian president accuses israel of hampering peace process'
"b""the maoist shining path 's jailed number-two leader , elena UNK , on tuesday filed suit seeking to visit behind bars her lover , the group 's longtime top leader abimael guzman , her attorney said .""","b""shining path leader 's love seeks quality time together"""
"b'russia and its pro-west neighbor georgia engaged in fierce fighting saturday in the disputed region of south ossetia , reports said , as the international community scrambled to prevent an all-out war .'",b'fierce fighting reported in georgia after russian troop surge'
"b""a senior russian official on tuesday paid a visit to syria over the `` dangerous developments '' in the gaza strip due to continuing israeli `` brutal aggression , '' the official sana news agency reported .""",b'russian presidential envoy visits syria over gaza'
b'average mortgage rates for single-family homes in the ## largest metropolitan areas as of feb. # as compiled by bankrate.com .',b'average single-home mortgage rates'
"b'jorge de la rosa won for the first time since may ## , mark teahen singled home a run in the third inning and the kansas city royals beat the los angeles angels #-# to complete a three-game sweep on wednesday .'",b'kansas city sweep angels'
b'each of the two numbers ending in zero had special meaning for mariner left-hander jamie moyer .',"b'moyer reaches #,### UNK ### wins'"
"b'pyongyang has yet to inform seoul of any intention to resume talks for an inter-korean summit , which could be dropped after the death of north korean president kim il-sung , officials said sunday .'",b'pyongyang silent on reviving summit preparations'
"b""hamas on monday denied dubai police chief 's accusation that a hamas traitor informed mossad , israel 's security intelligence service , about its militant leader mahmoud UNK 's visit to dubai , which led to his assassination on jan. ## .""",b'hamas denies dubai police accusation over militant murder'
"b'health legislation passed by the house would change some rules immediately on insurance coverage while leaving much of the fight over how to remake the medical system to federal regulators , states and courts .'",b'after vote health-care fight shifts to states agencies'
"b'two hamas militants were killed when a missile fired from an israeli aircraft hit a car in gaza city after nightfall monday , residents and palestinian security officials said .'",b'two hamas militants killed in israeli airstrike in gaza city'
b'a conservative author and former speechwriter for president bush has raised money to finance a tv advertising campaign aimed at sinking the nomination of harriet e. miers to the supreme court .',b'former bush speechwriter launches UNK campaign'
"b""an andy warhol canvas portraying a can of campbell 's soup was auctioned off here for nearly ##.# million dollars , christie 's auction house reported late tuesday .""",b'warhol painting fetches ##.# million dollars'
"b'uss greeneville cmdr. scott waddle was given a letter of reprimand monday as punishment for the submarine collision that killed nine people aboard a japanese fishing vessel , his attorney said .'",b'sub cmdr. gets letter of reprimand'
b'marlins players did a double-take the first time they saw pitcher anibal sanchez this spring .',b'sanchez drops weight with help from ex-nbaer john salley'
"b'at&amp;t corp. tomorrow will launch a service that allows individual consumers to link their personal computers to the internet via pc modems , in an effort to profit from the burgeoning on-line services market .'",b'at&amp;t to introduce access to internet via modems tomorrow'
"b'he was a highly decorated vietnam veteran , a successful salesman , a doting father of four .'",b'father exonerated in sex abuse case'
"b""a total of ### senior officials of peru 's national police , including almost half of all generals on the force , will be forced into early retirement , interior minister fernando rospigliosi announced saturday .""",b'almost ### peruvian police officials forced into retirement'
"b""an international seminar on `` roots of racism and anti-semitism '' will be held between january ## and ## in turkey 's biggest city of istanbul , the anatolia news agency reported today .""",b'turkey to host seminar on racism'
b'chinese scientists have succeeded in breeding the first cattle from frozen embryos in the rarefied atmosphere of the qinghai-tibet plateau .',b'frozen cattle embryos take to chinese highlands'
"b""the senate brushed aside an attempt to block renewal of the antiterrorism law known as the usa patriot act thursday , voting ## to # against changes urged by sen. russell d. feingold , the act 's most persistent critic .""",b'senate vote signals that patriot act will be renewed'
"b""president georgi parvanov summoned france 's ambassador on wednesday in a show of displeasure over comments from french president jacques chirac chiding east european nations for their support of washington on the issue of iraq .""",b'bulgarian president critical of chirac comments chiding east europeans'
"b'one u.s. navy service member was killed in a shootout with taliban fighters in the eastern afghan province of logar and another is in insurgent custody , a taliban spokesman and afghan officials said sunday .'",b'taliban afghan officials say one of two missing u.s. troops is dead'
"b""china should continue to get funds from the international development association -lrb- ida -rrb- , the world bank 's lending arm , the bank 's president , james wolfensohn said here today at a news conference .""",b'china entitled to ida funds says bank president'
"b'president bill clinton will discuss problems of the american family when he meets pope john paul ii on wednesday but is unlikely to raise the subject of abortion , a spokesman said .'",b'clinton to raise family issues in talks with pope'
"b""farmers in inner mongolia , one of china 's worst hit areas for soil erosion , have made great efforts to reclaim the land .""",b'inner mongolia curbs soil erosion'
"b""china 's benchmark shanghai composite index on the shanghai stock exchange closed at #,###.## points wednesday , up ##.## points , or #.## percent , from the previous close .""",b'shanghai stock indices up sept. #'
b'vanuatu and new caledonia scored late goals saturday to draw #-# in an oceania region world cup qualifier .',b'vanuatu new caledonia draw #-# in oceania world cup qualifier'
"b""when the university of california at berkeley lends its department of intercollegiate athletics millions of dollars to pay off its bills each year -- even forgiving that debt at times -- it 's helping out a top-tier college sports program beloved by thousands of fans .""",b'college chiefs lament subsidies for sports'
"b""as he tells the story , david glass was n't too impressed by his first encounter with wal-mart back on a sweltering day in the ####s .""","b""wal-mart did n't always impress ceo"""
"b""german consumer confidence is slipping amid concerns about europe 's debt crisis and the volatile euro , according to a survey published wednesday .""",b'german consumer confidence seen slipping'
b'eerie footage of the devastation wrought by the #### london bombings was shown in public for the first time tuesday at the inquests into the deaths of ## innocent passengers .',b'grisly london bombings video shown to inquest'
"b'the united states has pledged ## million dollars in development aid to the autonomous palestinian territories , us ambassador pamela harriman told a conference of donor countries here on tuesday .'",b'united states grants palestinians ## million dollars in aid'
b'shane warne on tuesday admitted he had first taken the banned diuretic which earned him a ##-month ban from cricket in december last year - to get rid of an UNK double chin .',b'warne admits to taking prior fluid tablet'
"b'media mogul silvio berlusconi battled to stay in power in italian parliamentary elections sunday with his conservatives trying to beat back a strong challenge from romano prodi , a former premier who leads a coalition ranging from moderates to communists .'",b'berlusconi battles to stay in power as italians vote'
"b""china 's stocks plummeted #.# percent to a two-month low on wednesday 's close , as the real estate , non - ferrous metals and coal shares dove more than # percent .""","b""china 's stocks plunge #.# pct on wednesday"""
"b""britain 's chancellor of the exchequer kenneth clarke thursday defended his decision not to raise interest rates last week , insisting that it did not signal the end of `` monetary policy as we know it '' .""",b'chancellor of the exchequer defends stand on interest rate'
"b'a minor earthquake rattled southern bulgaria on friday , but caused no serious damage or injuries , the state bta news agency reported .'",b'minor earthquake rocks southern bulgaria'
b'bill cosby says detroit residents must take responsibility for improving their city and schools .',b'cosby asks detroit students parents to get active'
"b'kazakh racer andrei UNK has left credit agricole to sign a two-year deal with spanish team liberty , his agent jacinto UNK told afp on saturday .'",b'liberty bell sounds for UNK'
"b""in a fiery debate on national television , the republican challenger to tom daschle , the senate minority leader , accused daschle of emboldening america 's enemies by criticizing president bush on the eve of war in iraq .""",b'daschle defends iraq remarks'
"b""a woman witness _ testifying tuesday from behind a screen and her voice disguised to protect her identity _ told of beatings and abuse at the hands of saddam hussein 's agents in the trial of the former president and seven lieutenants .""",b'woman witness weeps as she recalls beatings torture'
"b'the macedonian police seized ##.## kilograms of heroin in northern macedonia , the mia news agency reported wednesday .'",b'macedonian police make major heroin haul'
"b'the us military on wednesday faced the prospect of a costly logistical headache trying to move troops and supplies into afghanistan , after kyrgyzstan moved to close a major us air base that served as a vital hub .'",b'us supply routes to afghanistan under strain'
"b""academia sinica would be pleased to name u.s. biochemist roger y. tsien , a winner of the #### nobel prize in chemistry , as an honorary academician and invite him to visit taiwan , the head of taiwan 's top research institution said wednesday .""",b'new nobel laureate to be named honorary academia sinica academician'
"b'gold medal gymnast nadia comaneci carried the olympic torch along the last leg of a ##-mile -lrb- ##.#-kilometer -rrb- citywide journey saturday , arriving in times square to the cheers of thousands of spectators .'",b'olympic torch passes through new york'
"b'when jonathan smith rushed for five touchdowns in his first two games with washington state , it was not surprising .'",b'smith adjusts to tough division i'
"b'hong kong stocks went up ##.## points , or #.## percent , to close at ##,###.## on monday .'",b'hong kong stocks close higher feb. ##'
b'the bosnian government refused sunday to extend a frayed four-month truce but pledged to restrain its army if rebel serbs do not attack or block food aid .',b'u.n. special envoy fails to win government truce extension'
"b""hoechst ag , germany 's largest pharmaceutical company , said its UNK gmbh unit has reached an agreement with u.k.-based ici to supply automobile coatings in asia .""","b""hoechst 's UNK u.k. 's ici to sell auto coatings in asia"""
"b'the nigerian military have seized ## oil trucks used by pirates to smuggle crude oil and petroleum products from the volatile niger delta , a spokesman said monday .'",b'nigeria military seize ## oil trucks used for smuggling crude oil'
"b'the communist party on friday moved closer to form a government in nepal , which will make this isolated himalayan nation the only country in the world to have a communist government under a monarch .'","b""communists may form government in nepal china 's neighbor"""
"b""assailants set fire to ## public buildings in near-simultaneous attacks thursday in thailand 's muslim south and then killed two firefighters rushing to put out one of the blazes , officials said .""",b'three killed as assailants set ## fires in muslim-dominated southern thailand'
"b""mexico 's central bank said wednesday it was auctioning off us$ #.# billion in reserves to prop up the struggling peso , the strongest sign yet that the u.s. economic meltdown was hitting its southern neighbor hard .""",b'mexico brazil prop up struggling currencies'
b'leaders of a broad coalition opposed to the construction of a border fence between texas and mexico said wednesday federal officials have assured them local communities will still have a say in the building of any such barrier .',b'border coalition says it has assurances for local input on fence along texas-mexico border'
b'the new zealand share market closed monday down o. # percent at the end of a dull day .',b'new zealand sharemarket closes dull'
"b""china regrets that the international court of justice did n't order an immediate halt of nato 's bombing of yugoslavia , chinese foreign ministry spokesman zhu bangzao said at a press conference today .""","b""china regrets u.n. court 's rejection of yugoslavia 's request"""
"b""us general david petraeus was sunday to formally take up his new role of commander of the afghan war in a ceremony at nato 's headquarters in the capital kabul .""",b'new afghan war commander set to formally take reins'
b'a right-wing party said tuesday it will build a hindu temple on a site where its followers razed a mosque and touched off hindu-muslim riots six years ago .',b'rightwing party vows to build hindu shrine where mosque was razed'
b'UNK owner john UNK could not compete against the beautiful bikini-clad women selling espresso up the road .',b'seattle-area coffee shops show a little skin to compete for business'
"b""after years of struggle and two weeks of debate , democratic advocates of patients ' rights legislation hope to cement a series of compromises and build support for senate passage .""",b'lawmakers eye compromises on hmo bill'
b'the united states recalled peace corps workers from zimbabwe thursday after the government refused to issue work permits for its most recent volunteers .',b'united states recalls peace corps workers from zimbabwe'
"b""irish prime minister brian cowen said friday he was prepared to call a new referendum on the eu 's reforming lisbon treaty , rejected by voters in june , as long as promised guarantees are delivered .""",b'irish pm prepared to hold second referendum on eu treaty'
"b'two-thirds of american women with preschool children _ and ## percent of those with infants less than a year old _ are in the labor force , but attitudes toward working mothers have lagged far behind the reality .'",b'attitudes toward working moms lag behind reality survey finds'
"b""nigeria 's electoral agency is due to present a new voter register on july ## in line with an ultimatum by the federal government , local media reported on saturday .""","b""nigeria 's electoral agency to present voter register"""
"b""lebanon 's parliament speaker , who has blocked efforts to establish an international tribunal to try suspects in the assassination of former premier rafik hariri , has asked saudia arabia to initiate talks to try to resolve the dispute over the court , the u.n. chief said thursday .""",b'u.n. chief says lebanon s parliament speaker asked saudi to initiate talks to resolve dispute over tribunal'
"b""the general price index of tehran stock exchange closed at #,###.## points on saturday , down #.## points from wednesday 's close .""",b'tehran stock exchange index closes down'
"b""the impetus for kevin keegan to stay on as england coach continues to grow , with two of the most powerful men in english football suggesting they would be happy for the fulham boss to become england 's full-time manager .""",b'fa wants keegan full-time'
"b'malaysian share prices closed #.# percent higher friday but trading was dull in the absence of fresh leads and ahead of the weekend , dealers said .'",b'malaysian shares close #.# percent higher'
"b'a soldier of the army honor guard was referred to investigators after calling for the assassination of the president on a web site , a spokesman for the ministry of national defense said friday .'",b'soldier of army honor guard investigated for threat against president'
"b'the ## member states of the osce have agreed to reform the organization without changing the role of its election monitoring teams , but a joint declaration at the close of the summit is unlikely , us and european union officials said tuesday .'",b'osce agrees on reform but keeps election monitoring missions unchanged'
b'a palestinian militiaman was wounded monday by a burst of bullets fired at his car in the west bank town of hebron .',b'militiaman wounded in shooting'
"b""zimbabwean president robert mugabe saturday said that ways should be found to get around technicalities slowing down the country 's land resettlement program .""",b'zimbabwean president calls to speed up land resettlement'
"b'share prices in tokyo opened #.## percent higher friday with the nikkei-### index gaining ##.## points to ##,###.## in the first five minutes of trading .'",b'tokyo stocks open #.## percent higher'
b'philippine acting defense secretary eduardo ermita thursday reiterated that peace talks between the government and the national democratic front -lrb- ndf -rrb- should be held in the philippines instead of in a foreign land .',b'foreign exchange rates in hong kong'
b'a top u.n. official who is being investigated for his ties with kosovo leaders left the province on tuesday after being told his contract would not be renewed .',b'un official under investigation for alleged improper behavior loses kosovo job'
b'mining italiana will invest ## million canadian dollars -lrb- about # million u.s. dollars -rrb- in three quebec mines .',b'italy to invest millions of u.s. dollars in quebec mines'
b'twenty-five zambian parastatal companies will be wound up either through liquidation or asset sales .',b'## parastatal companies to be liquidated in'
"b'a group of militants ambushed a van wednesday as it traveled near khar , the main town in the bajur tribal region , killing two women teachers and wounding two other passengers .'",b'pakistan militants kill # women teachers'
"b""the u.s. dollar was traded at nt$ ##.### at ##:## a.m. thursday on the taipei foreign exchange , down nt$ #.## from wednesday 's close .""",b'u.s. dollar almost flat in early taipei trading'
"b'a stradivarius violin made in #### has been discovered , being so far the fourth one existing in romania , reported on thursday the official rompres news agency .'",b'stradivarius violin discovered in romania'
"b""extreme-right presidential candidate jean-marie le pen stepped up his criticism friday of the european union and its symbols , calling the euro `` the currency of occupation '' in france .""",b'far-right leader le pen calls euro the currency of occupation'
b'chinese premier wen jiabao met here thursday with visiting international university sports federation -lrb- fisu -rrb- president george e. killian .',b'chinese premier meets fisu president'
"b'alitalia will cancel some ### flights , more than half of them international , on friday due to a strike by air traffic controllers in italy , the italian carrier announced thursday .'",b'air traffic controllers strike forces alitalia cancellations'
"b'hong kong share prices rose #.# percent in opening trade friday led by overnight gains on wall street , dealers said .'",b'hong kong shares open #.# percent higher'
"b'two people died and more than ### suffered burns in a fire that broke out during a rock concert in the baltic port of gdansk on thursday night , police said .'",b'two dead in rock concert fire'
"b'eight people were killed sunday in a clash between police and extremists in southern egypt and a separate attack by militants on a civilian , police said .'",b'eight killed in clashes in southern egypt'
"b""thailand has denied that it is on the united states ' blacklist of drug trading countries , a local newspaper reported today .""","b""thailand denies it 's on us drug blacklist"""
"b'senior us and south korean officials on tuesday resumed negotiations on how to share the cost of stationing us troops in south korea this year , the foreign ministry here said .'",b'us south korea meet on sharing mutual defense cost'
"b""leaders worldwide condemned wednesday 's assassination of serbian prime minister zoran djindjic , expressing their shock at the slaying of a leader who helped bring democratic reforms to his country .""",b'leaders worldwide express shock over assassination of serbian prime minister'
"b'sen. ted stevens , the longest serving republican in senate history , narrowly lost his re-election bid tuesday , marking the downfall of a pillar of the u.s. senate and alaska icon who apparently could not survive his conviction on federal corruption charges .'",b'stevens loses alaska senate race'
"b""pace bowler andrew flintoff claimed three wickets to pin indian on the back foot after england 's wagging tail bolstered its first innings score on the second day of the third and final cricket test bangalore on thursday .""","b""flintoff 's breakthrough pins india on the back foot after kumble"""
"b""china 's leading exporting province is seeing a slowdown in the rate of decrease in international trade , according to the quarterly figures from guangdong customs .""","b""glimmer of economic hope as south china region 's slowdown in foreign trade decreases"""
"b'more than ### iraqi doctors in the city of karbala who say they have received death threats after unsuccessful medical procedures have closed their clinics in protest , their leader said on monday .'",b'iraqi doctors close ### clinics in protest at threats'
b'south african authorities on wednesday evening lodged an appeal against the granting of bail in london to a uk newlywed accused of conspiring to murder his wife near cape town .',b'south africa opposes bail for UNK suspect in uk'
"b""barack obama on sunday savored an easy victory over hillary rodham clinton in wyoming 's caucuses , capturing new momentum after recent setbacks in their fierce tug-of-war for the democratic presidential nomination that could drag on for months .""",b'obama defeats clinton in wyoming caucuses the latest prize in epic democratic race'
"b""canada 's prime minister stephen harper dissolved parliament on sunday and called an early election for next month in hopes of strengthening his conservative minority government 's hold on power .""",b'canada s prime minister calls early election'
"b""chad 's president idriss deby itno on saturday ordered foreign oil firms chevron and petronas to leave the country from sunday for non-payment of taxes , national radio reported .""",b'chad expels oil firms chevron and petronas'
"b""soon after the resumption of the budget session , some members of the parliament accused the government of `` bypassing '' the parliament in deciding to hike the prices of kerosene and cooking gas during the session 's recess , the pti said .""",b'indian parliament resumes budget session'
"b""the city was largely shuttered and its airport closed amid a nationwide curfew that was imposed by honduras ' de facto government monday after zelaya slipped back into the country and took shelter in the brazilian embassy .""","b""tensions rise in honduras after leader 's return"""
b'eu foreign ministers met monday to try to resolve a lingering sovereignty dispute between greece and turkey which could also affect an eu customs union with ankara .',b'eu tries to unblock turkey-greece dispute'
"b""vowing to fight `` modern-day slave owners , '' attorney general janet reno on thursday created a federal task force to prosecute employers who coerce illegal immigrants to work long hours in sometimes appalling conditions .""",b'task force to fight modern-day slavery in united states'
"b""coming on the heels of `` bewitched '' and `` the honeymooners , '' the big-screen version of `` the dukes of hazzard '' makes hollywood 's summer '## excursion into UNK UNK -- UNK if you count `` the bad news bears , '' which also had been a television series .""",b'UNK dukes is faithful to its namesake and just as UNK lame'
"b""stocks ended a lethargic session moderately lower monday as a lack of economic news returned investors ' focus to interest rates and inflation ahead of comments from new federal reserve chairman ben bernanke later this week .""",b'u.s. stocks end lower as nasdaq slides ; dow loses ##.##'
b'state media say an explosion at a fireworks plant in northern china has killed ## people and injured six others .',b'fireworks plant blast kills ## in northern china'
"b'west european new passenger car sales were down #.# percent last month compared to february #### , the association of european auto manufacturers said wednesday .'",b'car sales fall across western europe despite big rise in britain'
"b'four men were injured in a fire at government headquarters in downtown sofia , government officials said sunday .'",b'four injured in fire at government headquarters'
"b'pope john paul ii is close to finishing a new book based on a conversation with a prominent polish roman catholic philosopher , a polish vatican official says .'",b'pope finishing new book on philosophical matters vatican official says'
"b'second-seeded goran ivanisevic has withdrawn from the romanian open tennis tournament , officials said wednesday .'",b'ivanisevic pulls out of romanian open'
b'share prices closed #.# percent lower on the bombay stock exchange -lrb- bse -rrb- monday as investors sold on concerns a looming hindu-muslim confrontation over a disputed religious site was destabilising the government .',b'india stocks close #.# percent lower'
"b""the united states , trying to combat syrian attempts to reassert control over lebanon 's political system , said monday it was imposing economic sanctions against four people -- two lebanese and two syrians .""",b'u.s. announces sanctions to combat syrian influence on lebanon'
"b'egypt will allow domestic and foreign investors to build and manage airports in the country under new legislation designed to encourage investment , the egyptian mena news agency reported today .'",b'egypt allows foreigners to build airports'
"b'law professor richard h. sander , author of a controversial new study concluding that affirmative action hurts black law school students , generally seems an unlikely candidate to challenge a leading liberal cause .'","b""professor 's study challenges affirmative action"""
"b""samoa has made just one change to its starting lineup for saturday 's test against scotland following last weekend 's strong performance against england .""",b'samoa makes # change to team for scotland'
"b""russian president boris yeltsin on monday named his chief-of-staff sergei filatov to attend next monday 's ##th anniversary of the warsaw ghetto uprising against the nazis , his press office said .""",b'yeltsin names filatov to attend warsaw ghetto ceremony'
"b""a geyser of oil spewing from the bottom of the gulf of mexico is slowly tapering off with the help of a wellhead cap , but there 's no containing much of the crude that 's already escaped , a reality becoming increasingly evident at the region 's beaches and marshes .""",b'long road to oil cleanup looms over gulf coast'
b'the top chinese envoy on trade relations with washington warned tuesday that u.s. complaints to the world trade organization over product piracy and media market barriers could harm relations on trade issues .',b'chinese official warns that u.s. piracy complaint could hurt trade ties'
"b'the us-led coalition forces in afghanistan on saturday killed four taliban and al-qaida fighters immediately after the guerrillas killed an intelligence official of a southeastern province in an ambush , afghan sources said .'",b'four taliban and al-qaida fighters killed in southeast afghanistan'
"b'germany will likely abolish its mandatory military service as part of a wider reform of the armed forces and in a bid to save money , the defense minister said .'",b'germany likely to abolish military service'
"b'the newly-elected french national assembly early friday adopted a revised #### budget whose highlight is a five-percent cut in income tax , the first instalment of a ##-percent cut over five years .'",b'french national assembly adopts get'
"b""britain 's gulf war veterans tuesday appealed to the british government to stage a public inquiry into the gulf war syndrome .""",b'uk government urged to probe gulf war syndrome'
b'chinese vice-premier wen jiabao met today with visiting belarussian economic minister vladimir nikolayevich UNK .',b'vice-premier meets belarussian guests'
"b'in the first UNK project involving a us corporation in vietnam since the united states normalized relations with its former foe , occidental chemical corp. will help form a joint venture to produce polyvinyl chloride -lrb- pvc -rrb- resin in southern vietnam .'",b'first us UNK project since normalization announced'
b'liverpool and england striker robbie fowler was back in the headlines for the wrong reasons monday after suffering a suspected broken nose in a fight at a liverpool hotel .',b'england striker back in headlines after hotel fight'
"b""u.s. treasury secretary paul o'neill visited the afghan capital on monday , meeting top finance officials and saying he was impressed with government progress on introducing a new currency .""",b'u.s. treasury secretary on one-day visit to afghanistan'
"b'the palestinian red crescent society refuted on wednesday israeli accusations that there were shootings from its premises in UNK and from one of its ambulances in UNK settlement , both in the west bank .'",b'palestinian red crescent refutes israeli accusations'
"b""opposition members in gabon 's parliament boycotted the election of the national assembly 's new speaker monday , saying that the ruling gabonese democratic party -lrb- pdg -rrb- was abusing its prerogatives .""",b'gabonese opposition boycotts election of new national assembly speaker'
b'these feature stories are moving today to clients of the new york times news service .',b'cox news service features budget'
"b'just a week before his death , richard pryor and his wife sent a letter to an indiana county sheriff expressing outrage about an animal cruelty case .'",b'richard pryor sent letter to sheriff before his death'
"b'the china textile industry council said on monday it welcomes and supports the decision just made by the government to revoke export tariffs on ## categories of textile products from june # , #### .'","b""industry welcomes abolishment of china 's textile export tariff"""
"b""firemen rescued ## people from a high - rise building fire on thursday afternoon in northeast china 's heilongjiang province .""",b'high-rise in ne china catches fire ## rescued'
"b""british sky broadcasting plc must reduce its ## percent shareholding in itv to below #.# percent and not take a seat on the company 's board , a government minister said tuesday , accepting an earlier finding by britain 's competition commission .""",b'government tells sky to reduce stake in itv'
b'u.s. intelligence officials on thursday were showing members of congress a videotape and other evidence supporting their case that syria was building a nuclear reactor with north korean assistance before it was bombed by israeli planes last year .',b'us congress gets video evidence of north korean link to bombed syrian facility'
"b""buried in the #-foot stack of more than ### letters from sen. john mccain to federal agencies released by his office several weeks ago is a strongly worded appeal to the federal communications commission written in mccain 's very first week as chairman of the senate commerce committee .""","b""mccain 's role in radio licensing dispute discloses break with"""
"b""while emergency teams are racing to protect louisiana 's fragile coastlines , the tough business of shutting off the oil spewing into the gulf of mexico is taking place far below the ocean surface .""",b'far beneath the surface us oil spill cleanup unfolds'
b'palestinian foreign minister nabil shaath said monday he hoped hamas and other palestinian militant groups would agree to a cease-fire within days to save prospects for peace in the middle east .',b'shaath hopeful of early hamas cease-fire urges halt to attacks'
"b'nato is continuing to study steps toward taking in new members , the us ambassador to nato said friday , rejecting russian suggestions that the drive to enlargement had been put on ice until #### .'",b'nato denies suspending enlargement program'
"b'german insurance giant allianz brandished on thursday strong #### results as it emerged from the global financial crisis in good shape , while remaining modest for #### .'","b""germany 's allianz voices caution despite strong profit"""
"b'thai prime minister banharn silpa-archa has stated that the fifth asean summit would provide a unique opportunity to realize the integration of southeast asia , the bangkok post reported today .'",b'thai prime minister on asean expansion'
"b""foreign currency deposits held by individuals in shanghai have risen markedly in the first half of this year , demonstrating concern among mainland china 's public that mainland china might have to devalue its currency .""",b'shanghai foreign currency rise highlights fears of devaluation'
"b""china 's sugar output will further recover from the #### record low and is estimated to reach #.# million tons this year , up ## tons , or #.# percent from last year , according to a recent issue of the china economic herald .""",b'chinese sugar production recovers from low ebb'
"b'russia denied thursday that it had hired harold nicholson , a career cia employee charged in the united states with spying for moscow .'",b'russia denies having hired cia employee accused of espionage'
b'two black men accused of killing a white police officer during a #### race riot were ordered to stand trial after a hearing in which witnesses said they saw the suspects at the scene of the shooting .',"b""trial ordered for men charged in '## murder of york pennsylvania"""
"b'the afghan taliban militia today reiterated its rejection of the demand made by its opponents for demilitarization of kabul , reports reaching here said .'",b'taliban rejects demilitarization of kabul'
"b'a major legal hurdle to reopening the fore river shipyard in quincy , mass. was all but removed thursday after a senate panel agreed to change a law that blocks closed shipyards from receiving the federal loan guarantees that are crucial to their revival , congressional aides said .'",b'massachusetts shipyard hopes rise'
"b""calling `` slc punk '' the best youth movie to hit theaters this year is n't much of a stretch .""",b'slc punk brings truth meaning to young rebellion'
b'foreign minister karel de gucht said sunday the dalai lama has decided to delay his trip to belgium originally scheduled for june due to concerns it visit would damage belgian ties with china .',b'dalai lama cancels trip to belgium'
b'goldman sachs and morgan stanley agreed to pay $ ## million each to settle allegations that they sought commitments from customers to buy shares after an initial public offering in a move to support the price after the stock began trading .',b'# big brokers pay $ ## million to settle suit'
"b'the us treasury on monday unveiled a six-billion-dollar package to assist gmac , the troubled financial arm of general motors .'",b'us treasury throws #-billion-dollar lifeline to gmac'
"b""new zealand has followed the united nations ' lifting of sanctions against sudan , new zealand foreign minister phil goff announced in a tuesday 's government press release .""",b'new zealand lifts sanctions on sudan'
"b""goa 's chief minister briefed indian premier manmohan singh on tuesday about the murder of a british teenager as he insisted the resort state was the nation 's safest tourist destination .""",b'UNK chief minister briefs indian pm on slain british teenager'
"b'two-time masters champion jose maria olazabal , paul mcginley and darren clarke all failed in their attempts to make the field for the british open , faltering monday in the international final UNK at sunningdale .'",b'wakefield UNK lead ## into british open ; olazabal clarke mcginley fail'
b'investigators want to question a man who tried to fly into chicago with false passports and two airline uniforms on the day of the terrorist attacks .',b'federal authorities say man tried to fly from germany to chicago'
"b""it was a lot like `` star search , '' except some of the contestants tried to eat the microphone .""",b'star hounds hit high notes for shot at commercial fame'
"b""about #,### ethnic albanians rallied friday in skopje to demand the government alter plans to redraw the city 's administrative units _ a move they said would limit their right to govern _ and called for greater rights to use their language .""",b'ethnic albanians march to demand more right for their group'
"b'the british open golf championship will return to the hoylake course in north-west england in #### after a gap of nearly ## years , tournament organisers confirmed tuesday .'",b'british open returns to hoylake'
