document,summary,,,,,,,,,,,,,,,,,
"Daniel Pike, 28, spent two years building the hut near Watford, but was removed from it earlier this month.
He said his hut at Merry Hill Wood has now been flattened by the Woodland Trust, which owns the land.
The trust said it is required to safeguard the area and had offered Mr Pike advice about moving on.
For more stories about quirky homes in England follow our Pinterest board
Mr Pike built the hut from clay he found at the site, kitted it out with solar panels, and constructed an outdoor shelter with a seating area and cooking facilities.
He previously said being there had given him freedom and meant he could live ""without being coerced"".
Read this and other stories from Hertfordshire
However, bailiffs arrived on 7 September, accompanied by police, and he was arrested at the scene for obstructing a court official in the execution of his duty.
He said: ""It was all done very ruthlessly with no care or consideration for what I was saying.""
Mr Pike, who spent a night in a police cell and received a fine, said the hut had since been destroyed.
""I'm now staying at my mum's,"" he said. ""I had to ask her because I had nowhere else to go.""
Now he says he has been ""forced back into society"" and hopes to return to his previous job at a supermarket.
Steve Marsh from the Woodland Trust said the organisation had sympathy for Mr Pike's situation and the eviction was ""not personal"".
He said: ""We have over 1,000 sites across the UK and we have a blanket rule: No occupation, because we have to protect all our woods...so that we can protect and safeguard our woods for wildlife and nature but also other people that visit them.""",A hermit who lived in a woodland mud hut for four years says his eviction has forced him to go home to live with his mother.,,,,,,,,,,,,,,,,,
"The man was hit on the A466 Wye Valley Link Road in Newhouse, Chepstow, at about 17:00 GMT on Tuesday.
The road was closed in both directions between the M48, junction 2 (Newhouse Interchange) and A48 / Fair View (Highbeech roundabout).
Gwent Police said it would remain closed for several hours.
The Welsh Ambulance Service said a rapid response car and an air ambulance from Filton airfield, near Bristol, were sent to the scene but the man was pronounced dead.",A 72-year-old pedestrian has died following a collision involving two cars in Monmouthshire.,,,,,,,,,,,,,,,,,
"M Squared Lasers said it had attracted a funding package worth more than Â£2.5m from Barclays and a further Â£750,000 from BGF (Business Growth Fund).
M Squared is based at the West of Scotland Science Park in Glasgow, and has offices in the US including San Jose in Silicon Valley, California.
The company develops and manufactures lasers and photonic instruments.
It has designed products for a range of sectors, from explosives detection to biomedicines.
M-Squared co-founder Graeme Malcolm said: ""We've been expanding our export business for some time and have been making great headway in world markets.
""This latest investment will provide important support as we continue to pursue our ambitious growth objectives.
""Our US business has been growing strongly, with revenues doubling in 2014 as a result of rising demand for laser systems in areas such as quantum technologies.""
M Squared currently employs more than 50 staff and has a turnover of Â£10m.
The company achieved year-on-year revenue growth of 40% in 2014 and expects to see similar annual growth this year.",A Scottish laser manufacturer is set to increase its export activities after securing new financial backing.,,,,,,,,,,,,,,,,,
"Militants led by the jihadist Islamic State in Iraq and the Levant (Isis) took over parts of the cities of Falluja and Ramadi in late December.
Since then, troops and allied tribesmen have struggled to regain control.
The number displaced by the unrest is the highest since the peak of the sectarian insurgency from 2006 to 2008.
A further 1.1 million internally displaced people (IDPs) have still not returned to communities in Iraq wracked by violence since 2003.
By Nahed  AbouzeidBBC Arabic, Baghdad
The tourist village of Habbaniya, south-west of Falluja, was once a popular destination for the Iraqi elite during Saddam Hussein's rule. It has now turned into a refuge for those fleeing the fighting in Anbar.
Inside the village's chalets and seven-story hotel are hundreds of families, crammed into rooms that lack adequate sanitation and other basic facilities.
In the absence of appropriate medical care due to the army's blockade of the area, skin diseases and viral and bacterial infections are spreading uncontrollably. Children and women are the most vulnerable, especially pregnant women who cannot get access to female doctors.
The main roads in and out of Fallujah and Ramadi are part of the battlefield as the army aims to secure supply routes for troops and tries to cut off militant groups.
The UN High Commissioner for Refugees (UNHCR) said some 50,000 families had fled their homes since clashes erupted in Ramadi and Falluja after security forces dismantled a long-standing anti-government protest camp led by the Sunni Arab community.
While security forces backed by pro-government tribesmen have made steady progress in retaking areas of Ramadi, they have not launched an offensive to recapture Falluja, fearing a repeat of the two bloody urban battles US troops fought in the city in 2004.
Over the weekend, Anbar Governor Ahmed al-Dulaimi gave the militants a week to surrender, but said officials would not negotiate with Isis.
""With the conflict in Anbar continuing UN agencies continue to receive reports of civilian casualties and sustained hardship in communities impacted by the fighting and the influx of internally displaced persons,"" said UNHCR spokeswoman Melissa Fleming.
Most of the displaced had fled to outlying communities in Anbar province, while 60,000 had ended up in more distant provinces, she added. Many are living in schools, mosques and other public buildings and urgently needed humanitarian aid.
In Anbar, Ms Fleming said access remained a challenge, citing reports that a consignment of World Health Organisation (WHO) medical supplies had been detained at an Iraqi army checkpoint since 30 January.
Many bridges have also been destroyed and roads blocked.","Up to 300,000 people have now been displaced by the fighting between Sunni militants and security forces in Iraq's western province of Anbar, the UN says.",,,,,,,,,,,,,,,,,
"6 August 2016 Last updated at 13:57 BST
Spectacular fireworks, a parade of nations from around the world and the lighting of the famous Olympic torch launched the Games in Brazil.
Ricky was there for Newsround.
Check out the video to get a taste of the excitement.",The 2016 Olympic Games started in spectacular style with the opening ceremony at the Maracana Stadium in Rio on Friday.,,,,,,,,,,,,,,,,,
"The mock hangings involved two blow up dolls, one with a Rangers scarf, the other with an Orange sash
Police have also set up a dedicated email address to gather video footage of disorder and vandalism at the game.
Toilets in the away end of the ground were vandalised and both clubs later released statements over fan behaviour.
Det Insp David Stewart, who is leading the investigation, said: ""Today specifically, we are requesting people with mobile phone footage of vandalism within the toilets of the away support section to contact us.
""I would ask anyone who witnessed or who captured this vandalism to contact police, as it may assist with our enquiry.
""I understand there were a number of images and video shared online of this and I would be keen for people to contact us directly with any information they may have.""
The detective added: ""As part of the wider investigation, we have been viewing CCTV and obtaining footage from broadcasters in order to identify those responsible for disorder, vandalism and offensive or antisocial behaviour.""
Police have urged anyone with footage or information to send it to the dedicated email address: CelticRangersDisorder@scotland.pnn.police.uk",A 27-year-old man has been arrested after effigies of Rangers fans were hung from the stands during the recent Glasgow derby at Celtic Park.,,,,,,,,,,,,,,,,,
"Devon and Cornwall Police said dozens of birds had been ""placed"" in a line along the central markings of the A35, about 100 yards apart.
A ""large amount of feathers"" and a discarded seed bag, believed to have been used to move the birds, was found nearby.
It was too early to say how they died, the force added.
For the latest on this story, click here
PCSO Steve Mingo said witnesses are being sought.
""We are also asking for any pigeon fanciers in the area to check their flock to make sure all are accounted for.""",More than 40 dead pigeons have been found lined up in the middle of a major road through Devon.,,,,,,,,,,,,,,,,,
"This means none of the president's supporters will go to the ICC.
His long-time rival Laurent Gbagbo is on trial for war crimes at the ICC over the civil war sparked by his refusal to accept defeat in the 2010 election.
Both sides were accused of atrocities during the four-month conflict, which left some 3,000 people dead.
Mr Outtara said Ivory Coast now has an operational justice system so future prosecutions will happen in national courts.
He was speaking during a meeting in Paris with his French counterpart Francois Hollande.
Campaign group Human Rights Watch has warned that the ICC gave a ""perception of victor's justice"" by only prosecuting one side of Ivory Coast's conflict.
Mr Gbagbo's trial in The Hague, in the Netherlands, started in January and is likely to last three to four years.
Mr Gbagbo and ex-militia leader Charles Ble Goude deny murder, rape, attempted murder and persecution.
The ICC also accuses pro-Gbagbo militias of attacking members of ethnic groups believed to support Mr Ouattara.
But pro-Ouattara forces were also accused of similar atrocities and these have not been prosecuted in the ICC.
Last year, several former leaders of the pro-Ouattara rebels were indicted in Ivory Coast.
Among them is Cherif Ousmane, who remains a high-ranking officer in the presidential guard.
None of them is currently under arrest, reports the BBC Afrique's Abdourahmane Dia.
The ICC had issued an arrest warrant for Mr Gbagbo's wife, Simone, too, but this was dismissed by the Ivorian government.
Instead she was taken to court in Ivory Coast, along with 82 other supporters of her husband - 15 of whom were acquitted.
She was sentenced to 20 years in prison in March 2015 for undermining state security.",Ivory Coast's President Alassane Ouattara says he will not send any more Ivorians to the International Criminal Court (ICC) in The Hague.,,,,,,,,,,,,,,,,,
"Afrobasket 2015 is being held in Rades, on the outskirts of the capital Tunis, having moved from the coast after two deadly attacks on tourists this year.
In June, an Islamist gunman killed 38 people at the beach resort of Sousse.
The winners of this year's tournament will be crowned African champions, as well as qualifying for the 2016 Olympics in Rio de Janeiro.
The other three semi-finalists will go into an Olympic qualifying tournament next year.
The opening match of the event is between Egypt and Gabon.
Defending champions Angola are favourites to win the tournament.","Africa's biggest basketball tournament is under way in Tunisia, after a venue change due to security concerns.",,,,,,,,,,,,,,,,,
"Eliza Szonert, embroiled in a custody dispute with businessman Ashley Crick, took her son with the aid of a child recovery agency on 10 December.
Police detained her last week after she refused to reveal the child's location.
She can now leave with her son and without charge after adhering to police requests to take him to a doctor.
""She can leave Malaysia for home with her son. We have investigated the case and the deputy public prosecutor has decided that there will be no prosecution against her,"" Kuala Lumpur police chief Tajuddin Mohamad Isa said.
The case sparked a controversy after video of her taking the child in a Kuala Lumpur restaurant was circulated.
Mr Crick, who works for a Malaysia-based video streaming service, is reportedly back in Australia to seek custody of the child through the Australian court system.
""Thank you everyone for your love, support and assistance during this exhausting ordeal. More than anything I'm just looking forward to getting home and spending time with my son again,"" Ms Szonert said in a Facebook post.
Child Recovery Australia, the controversial group that helped Ms Szonert, said on its Facebook page that her return signalled ""another successful recovery"".
Two men from Child Recovery Australia accompanied Ms Szonert to the restaurant where the child was taken and spoke to Mr Crick.
Ms Szonert said that Mr Crick had taken away her and her son's passports after a disagreement.
The actress played troublemaker Danni Stark in Neighbours, appearing in the soap between 1993 and 1996, and she also had a role in the 2000 Australian movie The Dish.","A former Neighbours actress, held in Malaysia after snatching her child from her estranged partner at a restaurant, can return to Australia, officials say",,,,,,,,,,,,,,,,,
"Wavegarden Scotland wants to turn Craigpark Quarry pit near Ratho into a huge lake with a machine recreating waves for any level of surfer.
The planned site lies across from the Edinburgh International Climbing Arena.
The developers said they expected to create more than 80 jobs.
Andy Hadden, co-founder of Tartan Leisure Ltd, said: ""Wavegarden Scotland is a thrilling new concept in the adventure leisure industry.  If approved, it could position Scotland as a leading surfing destination as the country already has some world-class natural breaks.
""We've received fantastic feedback on our plans to date and we look forward to sharing them with the local community.""
Gavin Barrie, convener of City of Edinburgh Council's economic committee, said: ""The Wavegarden Scotland project appears an exciting addition to active participant sport in the Edinburgh area.
""Anything that encourages people, whether young or old, to lead an active lifestyle and enjoy all the benefits that come with it is likely to garner support across the city.
""Hopefully others will share my enthusiasm for development.""
William Watson, president of the Scottish Surfing Federation added: ""We fully support this fantastic project and will continue to work with Tartan Leisure Ltd to ensure it fits with the best interests of Scottish surfing.""
The public consultations will be held between 15:30 and 19:30 on Wednesday at the Edinburgh International Climbing Arena, and next Monday between 14:30 and 19:30 at Ratho Library.",Plans for a multi-million pound artificial surfing lake on the outskirts of Edinburgh are to be unveiled at a series of public consultation events.,,,,,,,,,,,,,,,,,
"The game had promised to be an entertaining one with the Magpies' Stanley Aborah letting fly from distance and forcing a corner early on.
Following that set-piece, County's Haydn Hollis forced a superb save from Barry Roche before Aborah struck another effort just wide.
But with the players struggling to move the ball as the rain came down, that was enough for referee Dean Whitestone to bring play to a halt after consulting both managers.
Report supplied by the Press Association.
Match abandoned due to waterlogged pitch, Notts County 0, Morecambe 0.
First Half ends, Notts County 0, Morecambe 0.
Delay over. They are ready to continue.
Foul by Alex Rodman (Notts County).
James Jennings (Morecambe) wins a free kick on the right wing.
Michael Rose (Morecambe) is shown the yellow card for a bad foul.
Alex Rodman (Notts County) wins a free kick in the defensive half.
Foul by Michael Rose (Morecambe).
Attempt saved. Paul Mullin (Morecambe) right footed shot from outside the box is saved in the centre of the goal.
Attempt missed. Stanley Aborah (Notts County) left footed shot from the left side of the box is close, but misses to the left.
Attempt saved. Haydn Hollis (Notts County) right footed shot from the centre of the box is saved in the centre of the goal.
Corner,  Notts County. Conceded by Barry Roche.
Attempt saved. Stanley Aborah (Notts County) right footed shot from outside the box is saved in the centre of the goal.
First Half begins.
Lineups are announced and players are warming up.",Notts County's game with Morecambe had to be abandoned at 0-0 just 10 minutes after kick-off after a huge storm waterlogged the Meadow Lane pitch.,,,,,,,,,,,,,,,,,
"L/Cpl David Gwilt from Bedford, and rifleman Dale Harris from Barnsley, died in the collision near Cullybackey in August 2014.
The 24-year-olds had been serving in the 2nd Battalion The Rifles, based at Thiepval Barracks in Lisburn.
Their colleague, rifleman Matthew Robins, escaped major injury.
Mr Robins told Belfast Coroner's Court how the three had left the barracks that morning to spend some time fishing.
He said the friends had stopped at two lakes and were on the way to find another spot to fish when the accident happened.
The soldier said he recalled being in the front passenger seat of the car as they drove along, but had no memory of the crash that followed.
""The next thing I remember I was in the ambulance and a paramedic was on the phone to my missus,"" he said.
Mr Robins, also from England, later told the coroner that none of the men were familiar with the roads in that part of County Antrim.
Jordan Marks was driving the tractor and trailer along the Ballyconnelly Road at around 20:00 BST when the silver Fiat Punto owned and driven by Mr Gwilt emerged from a junction.
""I just got a sight of a car flying out of the junction,"" Mr Marks said.
The vehicle collided with the front of the tractor and spun around before crashing into a road sign.
A retired doctor and two off-duty nurses were among the first to come upon the scene of the crash.
Despite their efforts, the two soldiers were declared dead at the site. Mr Gwilt was in the driver's seat and Mr Harris was in the back passenger seat behind him.
A road traffic collision investigator said the junction at the approach to the Ballyconnelly Road was clearly marked with signs and road markings.
""The Fiat was required to stop by the road markings and signage,"" he said.
Mr Dunn said it was not possible to determine the exact speed the soldiers' car was travelling at, but added: ""It was not moving at a relatively slow speed.""
Assessing the conclusions of the expert's report, the coroner said: ""The bottom line is the car failed to stop at the junction and very tragically that led to a collision with the tractor and the deaths of the driver and passenger.""
A policeman told the coroner there had been a ""collision history"" at the junction and explained there was another side road directly opposite the road the soldiers were travelled on - giving the impression of one continuing road.
""If you weren't paying close attention you might miss the junction completely,"" he said.
The coroner heard that Transport NI has agreed to introduce additional safety measures at the junction - such as 'rumble strip' road paint to give drivers further warning to slow down and high visibility bordering around the stop signs.
The coroner welcomed the steps.
""I always hope something will arise out of a tragedy that will improve matters and may prevent the occurrence of something similar,"" he said.
Recording the deaths as being the result of a road crash, the coroner extended his sympathies to the relatives of the two soldiers and again commended all those who had attempted to save them.","Two soldiers were killed when their car failed to stop at a junction and crashed into a tractor in County Antrim, an inquest has heard.",,,,,,,,,,,,,,,,,
"Two spacecraft have been ordered at a cost of roughly 550m euros (Â£405m).
They will be built at the aerospace giant's factories in Portsmouth and Stevenage in southern England.
Inmarsat specialises in providing mobile connections to ships, planes, oil and gas platforms, and the broadcasting industry.
The new spacecraft will be known as the Inmarsat-6 series. They will update services currently offered in the L-band part of the radio spectrum.
These connections are handled today by the Inmarsat-4 series, which was launched in 2005. The expectation is that these earlier platforms will be operational until at least 2020, by which time the I-6s should be ready for lift-off.
Inmarsat's decision to place the order with Airbus is a major boost for UK space manufacturing.
The telecoms company is the world's biggest player in its field, and so the Airbus workers in Portsmouth and Stevenage will see the contract as a tremendous endorsement of their skills and expertise.
It will also be regarded as a very positive return on the strategy pursued by ministers and the UK Space Agency, who have targeted R&D investments in the telecoms sector.
This has seen, for example, the development of state-of-the-art digital signal processors for satellites that can channel significant bandwidth and power to specific locations on the ground at the drop of a hat.
In addition to being more capable than the I-4s, the I-6s will differ in two key respects.
One is their frequency of operation. As well as the L-band, which is where Inmarsat has many legacy services, the new satellites will carry a Ka-band payload.
This higher frequency part of the radio spectrum is where much of the new sector growth will occur - such as in-flight connections for aeroplanes.  Inmarsat recently launched an I-5 series of satellites. These all operate in Ka.
The other big difference from the I-4s, and indeed the I-5s, will be the new satellites' architecture. They will be what are called ""all-electric"" spacecraft.
This means they will use an ion engine to manoeuvre themselves once they come off the top of the launch rocket.
This is normally done with a large chemical thruster, but a significant mass saving can be made if the final orbital positioning is done using an engine that spits out a stream of charged gas.
Such ion engines, although extremely efficient, do however take longer to achieve the task in hand, resulting in a delay of several months to get the satellite on-station.
The plus side for the satellite owner is that they can use the mass saving either to select a smaller, cheaper rocket or to add additional payload capability.
Jonathan.Amos-INTERNET@bbc.co.uk and follow me on Twitter: @BBCAmos","Inmarsat, the British satellite telecommunications company, has awarded the contract to build its next-generation constellation to Airbus.",,,,,,,,,,,,,,,,,
"Parnell joined for the group stage of the T20 Blast, taking six wickets in seven games.
The 25-year-old plays his final game against Somerset on Sunday, before joining South Africa's T20 squad in Bangladesh.
""Hopefully in the future I can come back here either with the South African team or back with Glamorgan,"" he said.
""It depends on what is available for me. Either another T20 stint or something longer.
""I have really enjoyed my time. It's a really beautiful city [Cardiff] as well and good people who have made me feel at home.
""The club have been good for me and I have thoroughly enjoyed my time in Wales.""
Parnell played in Glamorgan's T20 defeat to Surrey on Friday, a third successive loss for the Welsh county which is another significant blow to their hopes of qualifying for the quarter-finals.
It has been a mixed season for Glamorgan, who have won their last four County Championship Division Two fixtures to put themselves in promotion contention.
Despite their recent poor T20 displays, Parnell has been encouraged by what he has seen from Glamorgan in the shortened form of the game.
""They have good potential. I have seen some guys play some good innings and the bowlers have done well also,"" he added.
""Michael Hogan and Waggy [Graham Wagg] have a lot of experience and someone like Andrew Salter had done well as a youngster and shown what a gutsy cricketer he is. I expect big things from him in the future.""",South Africa bowler Wayne Parnell says he would like to return to Glamorgan after his spell with the county ends.,,,,,,,,,,,,,,,,,
"The 33-year-old, who attended school in the city, was elected unopposed and assumes the role with immediate effect.
Mr Beaumont succeeds Dundee-born actor Brian Cox, who was elected in 2010 and served two terms.
Mr Beaumont previously held the record for cycling around the world, completing the route in 194 days and 17 hours.
He said: ""I am absolutely thrilled, and slightly surprised, to be the new rector of the University of Dundee.
""Six years ago I sat in the audience at the Caird Hall as Brian Cox stepped into the role and I remember his words about making a real difference.
""In fact Dundee was the starting point for my first ever adventure at the age of 12, to cycle across Scotland.
""I look forward to playing my part in the University of Dundee's many future triumphs.""
Mr Beaumont will be formally installed as rector in a ceremony to be arranged for a later date.
The rector is elected to serve the students' interests, including at the University Court, the governing body of the institution.
The university's principal and vice-chancellor, Professor Sir Pete Downes, said: ""I am delighted to welcome Mark Beaumont into the university community, and I am sure he will be an excellent representative for our students.""",Round-the-world cyclist Mark Beaumont has been named the new rector of Dundee University.,,,,,,,,,,,,,,,,,
"The Commission on Widening Access said there was an ""undeniable case for change"" on the issue.
But it acknowledged the move would be ""divisive"", with concerns that middle-class students could be displaced.
The commission was set up by the first minister last year.
It was tasked with advising the Scottish government on how best to achieve its goal of ending the big gap between the number of students from wealthy and deprived backgrounds going to university.
The commission's interim report said there had been ""steady progress"" on the issue over the past decade.
But it stressed that ""very significant socioeconomic inequalities"" remained which were ""unfair, unsustainable and detrimental to Scotland"", and said the country had a moral and economic duty to tackle the issue
The report said it had been suggested that admitting students from deprived backgrounds with lower grades could have a detrimental impact on the academic excellence of Scotland's universities.
But it stated: ""There is increasingly strong evidence that with the right support, bright students from deprived backgrounds can enhance, rather than jeopardise, academic excellence.""
The report said other opposing viewpoints included:
But it added: ""Unless we are prepared to accept the notion that Scotland's talent is concentrated in its most affluent communities, it is clear that, through accident of birth, a whole section of Scottish society has nothing like an equal opportunity to maximise their talent and reap the benefits of higher education.
""We believe that this is fundamentally unfair and that the ultimate goal of widening access should be to eliminate socioeconomic inequality.
""Equality of access is not just a passport to a better life for individuals; it is also a passport to a fairer, better Scotland.""
The report also said there was strong evidence that parental experience of higher education was one of the most influential factors in determining the likelihood of a child entering university.
It added: ""This means that equal access is capable of transmitting the social and economic benefits of higher education between generations, breaking cycles of deprivation and contributing to a society that is healthier, wealthier and fairer.
""The evidence shows that a higher education is a passport to a better life. Graduates benefit from higher wages, significantly improved health outcomes and a higher life expectancy.
""We believe that Scotland has a moral duty to ensure that these opportunities are distributed fairly.""
The commission's final report is expected to be submitted next year.
The interim report was welcomed by Education Secretary Angela Constance, who said more needed to be done to tackle inequality in education despite the progress that had been made in recent years.
A spokeswoman for Universities Scotland said: ""Contextual admissions can help with this and it is one of many tools, but definitely not a silver bullet, that universities can use to help widen access.
""Universities will always look for the best and brightest applicants - our quality and excellence is very important to us and absolutely will not be compromised - but we are open-minded about what best and brightest actually means.""","Scottish universities should consider admitting students from deprived backgrounds whose grades are lower than their more affluent counterparts, according to a report.",,,,,,,,,,,,,,,,,
"Scotland's chief statistician estimated services grew by 0.5% and production by 0.3% between April and June, while construction contracted by 1.9%.
UK output as a whole grew by 0.7% over the same period.
Over the past year, the Scottish economy grew by 0.7% - a third of the UK rate of 2.1%.
In the first three months of the year, there was no growth in Scotland.
Scottish GDP per person - which takes population changes into account - grew by 0.3% during the second quarter, compared with 0.4% for the UK.
The report indicated that growth in Scottish GDP over the past year was driven by growth in the services industry, particularly in business services and finance.
However, that was ""tempered"" by contractions in the construction and production industries, especially electricity and gas, following the closure in March of Scotland's last coal-fired power station.
It was estimated that the closure resulted in a reduction of Scottish GDP of about 0.2 percentage points in the second quarter.
The economic report added: ""As this was a one-off closure it will not have an ongoing impact on the growth of the Scottish economy.""
Reacting to the figures, Scottish Chambers of Commerce chief executive Liz Cameron said it was ""good news"" that Scotland's economic growth rate had increased but added that there was ""still a great deal of work to be done"".
She said: ""To put this in perspective, the Scottish economy has grown in a year at almost the same rate that the UK economy has grown in just three months.
""These figures underline the fact that Scotland's economic performance has been significantly lower than that of the UK as a whole for a full year and, whilst we are now seeing welcome growth in our production and service sectors, construction has been contracting at a significant rate for two consecutive quarters.""
Colin Borland, head of external affairs in Scotland for the Federation of Small Businesses, said: ""These pre-referendum statistics might feel like a history lesson, but they teach us that Scottish growth was weak even before June's historic vote.
""Scotland needs to strive for growth levels at least as good as the UK average.
""We look forward to the SNP talking business when they meet in Glasgow this week.
""In addition, the UK government needs to put the welfare of the economy at the top of its priority list as it formulates its approach to leaving the EU.
""The litmus test for every Brexit policy must be the impact on our high streets, small businesses and local communities.""","Output from the Scottish economy grew by 0.4% in the second quarter of this year but lagged behind the UK as a whole, according to official figures.",,,,,,,,,,,,,,,,,
"The rate of deforestation has increased so much that Indonesia has for the first time surpassed Brazil in the rate of its clearance of tropical forests.
The study was published in the journal Nature Climate Change.
Scientists monitored the growth of deforested land in Indonesia between 2000 and 2012 using satellites.
They say the land was cleared to make way for palm oil plantations and other farms.
By 2012, the loss of primary forest every year in Indonesia was estimated to be higher than that in Brazil, said scientists.
In that year, Indonesia lost 8,400 sq km of forest compared to Brazil which lost 4,600 sq km.
The researchers, from the University of Maryland, said that deforestation had led to an increase in greenhouse gas emissions and a loss of biodiversity.
Indonesia has 10% of the world's plants and 12% of the world's mammals. It is known for its diverse wildlife which includes orangutans and Sumatran tigers.
A government moratorium on deforestation was signed in 2011 and was intended to slow down the pace of deforestation.
But environmental activists say corrupt politicians are quick to sell off huge swathes of rainforests for profit, and they point to the need for more monitoring and sanctions to stop the rate at which Indonesia is losing its forests, says the BBC's Karishma Vaswani.
Massive forest fires in Indonesia to clear land last year caused a heavy smog to blanket neighbouring Malaysia and Singapore, triggering health concerns in those countries.
Norway has pledged a billion dollars to Indonesia if it can prove it is serious about stopping deforestation.
Agencies report that Norway has paid almost $50 million to Indonesia to help set up new institutions to reduce deforestation.
But Indonesia will only start to get large amounts of money if deforestation is slowed down.","A new study has shown that Indonesia lost about 60,000 sq km of virgin forest - an area close to the size of Ireland - over a period of 12 years.",,,,,,,,,,,,,,,,,
"The 23-year-old, in his eighth Test, was dropped three times but reached an entertaining hundred from 104 balls.
England claimed two wickets in five balls early on but left-hander De Kock shared in stands of 50 and 82 and was unbeaten on 129 as his team made 475.
In reply Alex Hales fell cheaply but Alastair Cook held firm with 67.
South Africa resumed on 329-5 with De Kock on 29 and added 146 runs in 42 overs before they were bowled out midway through the afternoon session.
Media playback is not supported on this device
Fast bowler Kagiso Rabada claimed two early England wickets, trapping Nick Compton for 19 with one that pitched halfway down the wicket but hit barely above the boots.
The increasingly uneven bounce will give South Africa, who have already lost the series, hope of a consolation victory.
England's new opener Hales, playing his seventh Test innings, struck three fluent boundaries in his 15 from 14 balls, with consecutive attractive strokes to the fence through the off-side off the back foot.
But in the sixth over he skewed a loose drive, which was comfortably caught at backward point.
Former England captain Michael Vaughan told Test Match Special: ""It was a terrible dismissal. He gifted an opportunity and it is another one to put in the list of failures.
""He looks in two minds at the crease, unsure whether to go for the full-on aggressive shot or a checked drive.""
Hales, who has passed 50 only once in seven innings in the series, is the eighth opening partner for Cook since the retirement of former skipper Andrew Strauss in 2012.
The current captain showed a welcome return to form, however, looking assured in his first fifty of the series - and the 47th of his Test career - and is only 50 short of becoming the first England player to score 10,000 Test runs.
Joe Root edged a delivery fractionally short of De Kock behind the stumps as the occasional ball misbehaved but England's two leading batsmen put on 60 to take them to the close without further loss.
Having reprieved centurions Stephen Cook and Hashim Amla with dropped catches on day one, England were guilty of further errors in the field as South Africa pressed on to a commanding first innings total.
In only the third over of the day De Kock scythed James Anderson to gully where a diving Ben Stokes could not grasp the chance.
On 80, De Kock edged the luckless Chris Woakes and bisected wicketkeeper Jonny Bairstow and wide first slip Alastair Cook, neither of whom went for the catch.
Ten runs later, De Kock's drive at Moeen Ali went through the hands of Cook at short extra-cover.
The left-hander played an array of shots all around the wicket and was particularly severe on Moeen Ali.
He scored 45 runs off the spinner in only 28 balls, including two mighty leg-side sixes, one of which nearly landed on a cameraman behind the long-on boundary.
Former South Africa wicketkeeper Mark Boucher: ""The pitch is not going to get any better; those cracks are going to widen. Batting from now on is going to be hard graft. In the last innings it will be a real lottery.
""You do feel that if South Africa get it right in a session, they will do some proper damage. You could have a session where England go 60-4.""
Ex-England skipper Michael Vaughan: ""There's going to be more low bounce over the next three days. You're under a lot of pressure when a team gets 475 on the board - you're only one bad session away from losing the match.
""If England get out of this Test with something, they'll have done brilliantly.""",Quinton de Kock's maiden Test century put South Africa in command of the final Test as England closed day two in Centurion 337 runs behind on 138-2.,,,,,,,,,,,,,,,,,
"Former party leader Mark Durkan, who has been the MP for the area since 2005, lost out by just 169 votes to Elisha McCallion of Sinn Féin.
Londonderry's city seat had been coveted by the SDLP since their party founder John Hume was elected in 1983.
All 18 of Northern Ireland's MPs have been confirmed with the SDLP and Ulster Unionist Party the biggest losers.
At the last general election in 2015, Mr Durkan was 8,000 votes clear of his nearest rival with 42% of the vote.
""I cannot tell a lie,"" he said in his concession speech.
""I cannot say it doesn't hurt but I absolutely want to begin by congratulating Elisha McCallion and agreeing with her that what she has achieved tonight is a privilege, to represent the people of this city.""
The Foyle turnout was 65.60% - up from 53.58% two years ago.
While not exactly a political newcomer, Ms McCallion only became an MLA at Stormont earlier this year following the death of Martin McGuinness.
In an emotional speech after the result, she recognised Mr Durkan's contribution to political life in the North West.
""Mark has been a public representative in Derry for a large number of years and he has served it well,"" she said. ""But I can't not express my extreme delight at being the first ever republican MP ever elected in this city.""
Mr Durkan said one of the reasons for his defeat was greater campaign funding by Sinn Féin.
He also felt that a reluctance from other parties to engage in a ""progressive alliance"" along pro-EU lines had been damaging.
""We were faced with a huge effort and a huge spend by Sinn Féin, they targeted the constituency very well and put huge resources in here,"" he told the BBC.
""It's a big part of it, if we can't match that spend or that spin.""
SDLP leader Colum Eastwood, who also hails from Derry, will now have a big job on his hands to pick the party up from their Westminster whitewash.
Stephen Pound, the Labour MP for Ealing North and shadow minister for Northern Ireland, said Mr Durkan's loss from the house of Commons would be keenly felt.
""Mark was without a doubt one of the finest speakers in the House of Commons, he was also the inventor of these incredible 'Durkanisms',"" Mr Pound told BBC Radio Foyle.
""He was one of the few people that made everybody stop rustling the papers and look up when he started speaking, he'll be missed greatly.
""We've lost a unique voice. He was a damn fine speaker and a very, very good friend.""","After almost four decades in power, the SDLP has lost its Westminster seat in Foyle.",,,,,,,,,,,,,,,,,
"HMP Shrewsbury, also known as the Dana, was one of a number of prisons shut by the Ministry of Justice last March in a bid to save about Â£63m a year.
Bids from private companies are being invited.
John Yates, from English Heritage, said a list of historic buildings had been revised to show how potential developers could adapt the Grade II listed building.
He said it could become flats or a hotel.
""We can expect the prison to find an imaginative and, we hope, useful new purpose"", he said.","A former prison in Shrewsbury, in Shropshire, is up for sale.",,,,,,,,,,,,,,,,,
