,document,summary
302,"Dover District Councillor Bob Frost appeared to make comments about black people during an online conversation about the recent riots.
Mr Frost, a teacher, has apologised ""unreservedly"" and deleted the posts.
Deputy Council Leader Sue Chandler said: ""There is no place in our society for this kind of language.""
She added: ""We have therefore suspended Councillor Frost from the Conservative Group pending investigation.""
The comment was made while Mr Frost was having a conversation on the social-networking site, alluding to the London riots while he was on holiday.
On his status he wrote: ""I'm missing the vibrant and multi-cultural society which I normally celebrate here in Sicily! Not!""
It was then suggested by someone else on Facebook that he take a trip to north London.
He replied: ""All the bunnies here are of the woodland variety rather than the jungle.""
Sola Afuape, chair of the equality charity Afiya Trust, said: ""You don't expect somebody in a position of power, in a leadership position, to make comments like this.
""They're clearly offensive - racist in fact.""
In a statement, Mr Frost said: ""What I said was wrong and I apologise unreservedly.
""I am mortified by the offence that I have caused and have deleted these comments.
""I am very sorry.""",A councillor in Kent has been suspended from the Conservative Party while it investigates an apparently racist comment he made on Facebook.
303,"Current drugs help manage the symptoms, but do not prevent brain cells dying.
The trial on 62 patients, published in the Lancet, hints the medicine halted the progression of the disease.
The University College London (UCL) team is ""excited"", but it urges caution as any long-term benefit is uncertain and the drug needs more testing.
""There's absolutely no doubt the most important unmet need in Parkinson's is a drug to slow down disease progression, it's unarguable,"" Prof Tom Foltynie, one of the researchers, told the BBC.
In Parkinson's, the brain is progressively damaged and the cells that produce the hormone dopamine are lost.
It leads to a tremor, difficulty moving and eventually memory problems.
Therapies help manage symptoms by boosting dopamine levels, but the death of the brain continues and the disease gets worse.
No drug stops that happening.
In the trial, half of patients were given the diabetes drug exenatide and the rest were given a placebo (dummy treatment). All the patients stayed on their usual medication.
As expected, those on just their usual medication declined over 48 weeks of treatment. But those given exenatide were stable.
And three months after the experimental treatment stopped, those who had been taking exenatide were still better off.
Prof Foltynie told the BBC News website: ""This is the first clinical trial in actual patients with Parkinson's where there has been anything like this size of effect.
""It gives us confidence exenatide is not just masking symptoms, it's doing something to the underlying disease.
""We have to be excited and encouraged, but also cautious as we need to replicate these findings.""
They also need to trial the drug for much longer periods of time.
An effective drug would need to hold back the disease for years in order to make a significant difference to patients.
Parkinson's progresses slowly and the difference in this 60-week trial was definitely there, but was ""trivial"" in terms of the impact on day-to-day life, say the researchers.
The drug helps control blood sugar levels in diabetes by acting on a hormone sensor called GLP-1.
Those sensors are found in brain cells too. It is thought the drug makes those cells work more efficiently or helps them to survive.
It is why the drug is being tested in other neurodegenerative diseases including Alzheimer's.
David Dexter, the deputy director of research at Parkinson's UK, said: ""The findings offer hope that drugs like exenatide can slow the course of Parkinson's - â€Šsomething no current treatment can do.
""Because Parkinson's can progress quite gradually, this study was probably too small and short to tell us whether exenatide can halt the progression of the condition, but it's certainly encouraging and warrants further investigation.""
Dr Brian Fiske, from the The Michael J Fox Foundation for Parkinson's Research, said: ""The results from the exenatide studies justify continued testing, but clinicians and patients are urged not to add exenatide to their regimens until more is known about their safety and impact on Parkinson's.""","It may be possible to stop the progression of Parkinson's disease with a drug normally used in type 2 diabetes, a clinical trial suggests."
304,"Shadow Europe minister Pat Glass made the comments after an interview with BBC Radio Derby in Sawley, Derbyshire.
She said: ""The very first person I come to is a horrible racist. I'm never coming back to wherever this is.""
She later said the comments were ""inappropriate"" but UKIP said it showed ""contempt"" for people's concerns.
Updates on this story and more from Derbyshire
The man Ms Glass is believed to have been referring to said he had spoken to her about to a Polish family in the area who he believed were living on benefits, describing them as ""spongers"", but denied being racist.
The North West Durham MP said: ""The comments I made were inappropriate and I regret them.
""Concerns about immigration are entirely valid and it's important that politicians engage with them.
""I apologise to the people living in Sawley for any offence I have caused.""
But those campaigning for the UK to leave the EU criticised her remarks.
Conservative MP Peter Bone, one of the founders of Grassroots Out, said: ""It is disappointing that a member of the Remain campaign called a voter a 'horrible racist' for raising perfectly valid concerns about the impact uncontrolled migration is having on the UK.""
And Steven Woolfe MEP, UKIP's migration spokesman, said her comments showed ""the contempt Labour has for ordinary workers' concerns"".
""It is in the DNA of the Labour Party. We have had Gordon Brown calling a Labour supporter a bigot, Emily Thornberry ridiculing a white van man displaying an English flag - and now this.""
Brendan Chilton, the general secretary of the Labour group campaigning for Brexit - Labour Leave - criticised Ms Glass's comments as ""shocking"". ""A significant number of Labour voters want to leave the EU, and have justified concerns with immigration.
""Pat Glass's comments do not reflect the views of a large number of Labour voters.""
Conservative MP for Erewash Maggie Throup had urged Ms Glass ""to make a full apology to my constituent at the earliest opportunity"" and to return to the area ""to see for herself just how great a place it is to live, work and raise a family"".
In April 2010, then PM Gordon Brown apologised after being recorded describing a 65-year-old voter as a ""bigoted woman"".
Labour MP Ms Thornberry quit the shadow cabinet in 2014 after a photo she tweeted of a house with three England flags and a white van parked outside, during the Rochester by-election, was criticised as ""disrespectful"".
Shadow home secretary Yvette Cooper, who is campaigning for the UK to remain in the EU, told BBC One's Question Time: ""Pat has apologised and of course it's not racist to want to leave the European Union, it's not racist to be worried about immigration - there are concerns particularly about dodgy employers who exploit low skilled migration to undercut wages and jobs and I think something should be done about that.""
But she accused Leave campaigners of offering ""false promises"" that if the UK left the EU there would be a ""substantial"" change on migration policy.","A Labour MP campaigning for the UK to remain in the EU has apologised after being recorded calling a voter a ""horrible racist""."
305,"In the other group, qualification will go down to the final day of matches, after bottom side Al Ahly finally recorded a win - beating leaders Wydad Casablanca 1-0.
Zambia's Zesco are tied with Wydad after being held 1-1 by Asec Mimosas of Ivory Coast, who have the same number of points as Ahly.
The loss led to the resignation of Zamalek coach Mohamed Helmi, while captain Hazem Emam has been suspended over an altercation with a team member.
Zamalek chairman accepted Helmi's resignation and has appointed Mohamed Salah  as interim coach.
An own-goal from Zamalek's Ali Gabr in the 79th minute secured Sundowns' qualification to complete a remarkable turnaround for the South Africans in the Champions League.
Sundowns had been eliminated in the final qualifying round for the Champions League last April by AS Vita Club from the Democratic Republic of Congo.
Demoted to the second-tier Confederation Cup, Sundowns were beaten by Medeama of Ghana in a play-off to suffer further African disappointment.
But on the eve of the June draw for the Champions League groups, the organisers kicked out Vita Club for using a banned player and Sundowns were reinstated.
The victory over Zamalek puts Sundowns top of Group B on nine points - six ahead of Zamalek in second.
We still have to do the business
""The gap is getting closer and closer between us and the north Africans,"" Sundowns coach Pitso Mosimane said after the win.
But he cautioned that Sundowns' hard work could come to nothing if they fail to win the title.
""There's a little bit of bragging rights in beating Zamalek, but we still have to do the business,"" he said.
Bottom side Enyimba of Nigeria are yet to register a point after two matches in this group which is reduced to three teams following Entente Setif's disqualification.
Enyimba and Zamalek play in the final round of group matches to decide which of them will join Sundowns in the last four.
In Group A, Wydad Casablanca of Morocco and Zesco United of Zambia also had the chance to secure semi-finals places if they both won their matches on Wednesday.
However, Zesco United were held to a draw away to Asec Mimosas in Abidjan to open up the group and keep ASEC's faint hopes of progressing alive.
Asec piled on the pressure on Zesco with a 75th minute strike from Nabi Kone, but the visitors responded five minutes later with an equaliser from Jackson Mwanza.
The result left Zesco level on seven points with leaders  Wydad Casablanca who were beaten at home by bottom-of-the-table Al Ahly of Egypt in the late match.
Asec are a further three points behind.
Ahly had managed just one point from their first three games but Rami Rabia's goal early in the second half in Morocco gave them a fine away win.
Ahly play Zesco and Asec take on Wydad in the final round of matches, so all four teams from Group A still have hopes of going through to the last four.",Mamelodi Sundowns of South Africa continued their impressive run in the African Champions League with a 1-0 win over Zamalek on Wednesday which put them into the semi-finals.
306,"Is there something you have seen or heard that you would like us to investigate?
It could be a burning issue or something you have always wondered about the area or its people.
Use the tool below to send us your questions.
We could be in touch and your question could make the news.",Have you got a question about Coventry & Warwickshire?
307,"But six years after he stepped down, the public response to news that he has now been freed from detention has been remarkably quiet.
Earlier this month, a top appeals court cleared Mubarak of involvement in killing some of the 900 protesters who died during the country's uprising.
Egypt's prosecutor ruled there was no reason to hold him, as he had already served a three-year sentence for embezzling public funds.
After the first legal decision, the ex-president gave a rare telephone interview to an Egyptian journalist, who offered her congratulations.
He told her that, at the age of 88, he was ""in good health"" and would be ""staying at home"" in his family's property in Heliopolis, eastern Cairo.
A former general, Mubarak was one of the Arab world's most well known leaders.  A close ally of the United States, he long kept an iron grip on power, despite claims of corruption and cronyism.
Recently, as Egypt has gone through waves of political and economic upheaval, many have come to look back at the Mubarak era as a time of relative calm and prosperity.
Karim Hussein set up a Facebook page called ""We're Sorry Mr President,"" which has more than 1.8m likes.
""It was my greatest wish in life to see President Mubarak finish with his legal case,"" says Mr Hussein, who visited the former leader in the military hospital where he spent most of his time in custody.
""I knew he was innocent from day one, because a man who once fought for the freedom of this country, would never kill its youth,"" he goes on.
""We won in the end.  It's a great victory for a great man.""
The first elected successor to President Mubarak was an Islamist, Mohammed Morsi, who was then overthrown in mass protests.
Seeking stability, Egyptians next voted in Abdul Fattah al-Sisi, another military strongman, who has led a crackdown on Islamists and pro-democracy activists.
Tens of thousands of people have been detained.
""I think we've gone a complete cycle around,"" says journalist, Shahira Amin, who rose to prominence when she resigned from state TV over its coverage of the 2011 uprising.
She has since been tried and acquitted of charges of posing a threat to national security.
Ms Amin is unsurprised by Mubarak's release or the muted reaction to it.
""Most Egyptians are just busy trying to make ends meet with the economic pressures: soaring prices, inflation, unemployment,"" Ms Amin says.
""The activists who started this revolution, many of them are behind bars.  People have been silenced or intimidated and there are no more outspoken critics of the government. ""
For those who made sacrifices in Tahrir Square, the crucible of Egypt's popular revolt, the fact that Mubarak is now free, while so many protesters remain in jail, is hard to bear.
It raises questions about whether any of their calls for reforms and freedom were ever really answered.
""His release is a sign of the corruption in the country,"" comments Randa Sami, who worked as a nurse at a field hospital in 2011.
She has life-long injuries and can only walk with crutches after police beat her.
""I put up a Facebook post saying: ""Oh God where are my rights, the rights of those killed and injured?"" Many people sympathised,"" she says.
However, she insists she has no regrets.
""It was worth it to go to the streets,"" she reflects.  ""Ok, Mubarak was not fully punished for his deeds but he was the first president to go to jail.""
""At least we got him to go through this.""","In 2011, millions of Egyptians took to the streets demanding the removal of their autocratic president of 30 years, Hosni Mubarak."
308,"The Great Tapestry of Scotland is officially the world's largest embroidered tapestry, at 469ft (143m) long.
It uses 300 miles (483km) of yarn to show everything from the Battle of Bannockburn and the Act of Union to Andy Murray winning at Wimbledon.
The tapestry is on show in the castle's Great Hall until 8 March.
Stirling Castle is featured on a number of panels in the tapestry, including one of former resident Mary Queen of Scots.
The castle's Great Hall of James IV is one of the few places where the enormous tapestry can be displayed in its entirety.
Lorna Ewan, head of visitor experience, content and learning for Historic Scotland, which runs Stirling Castle, said: ""To date more than 200,000 people have had the chance to view The Great Tapestry of Scotland on its national tour.
""Now, through a carefully designed exhibition, the public will see the full extent of the tapestry - all 160 hand-embroidered panels - in the surroundings of Stirling Castle's Great Hall.
""This exhibition will allow visitors to follow the journey of Scotland's history, and we look forward to welcoming people to Stirling Castle to view this impressive piece of art.""",A massive tapestry depicting millions of years of Scottish history has gone on show at Stirling Castle.
309,"They said Brexit ""consequences are likely to be significant"".
Highlighting Britain's role in the global financial system, they warn Brexit could affect jobs in the financial industry and beyond.
In a June referendum, the UK voted to leave the EU causing global uncertainty over the fallout of the separation.
In their letter, the bankers also said US companies in the UK rely on ""passporting rights"" between the UK and the remaining EU member states to allow UK-based firms to operate freely across the economic bloc.
They added that millions of people in the US are employed by UK and EU companies and called for a ""smooth"" transition period to give firms time to get used to changes in trade and investment.
All you need to know about Brexit
UK's Brexit vote: what has actually happened so far?
Brexit: 'No substantive talks for 12 months'
In the months since the UK vote to leave the European Union, markets around the globe have seen increased volatility with investors nervous about uncertainty in Europe.
The pound plunged on the day after the vote and has remaining at record low levels since then.
In their letter, the bankers stress that ""for the prosperity of the US and world economies"" it was vital that uncertainly was ""kept to a minimum"" and that existing trade ties were ""disrupted as little as possible.""
The signatories ask for:
The letter is signed by the chiefs of the American Bankers Association, the Financial Services Forum, the Financial Services Roundtable and the Securities Industry and Financial Markets Association.
Exit negotiations between London and Brussels have not yet begun and the uncertainty of the timeline has added to business uncertainty.
Substantive Brexit talks between the UK and the rest of the EU are unlikely to start much before the end of 2017, a former European Council president earlier this month told the BBC.
Herman Van Rompuy said negotiations were unlikely until a new German government was formed after next September's election.",US bankers have written to Treasury Secretary Jacob Lew asking him to push for transparent Brexit negotiations in the interests of market stability.
310,"Members of the GMB union voted strongly in favour of the deal, but it was rejected by Unite members.
The dispute is over plans to move staff from a final salary pension scheme.
Both unions voted last month to take industrial action at Diageo sites in Scotland, as well as other locations in Northern Ireland and Cheshire.
A deal appeared to have been struck following further talks with the company.
Members of the GMB union, which has 1,200 members working with Diageo in Scotland, voted by almost 3-1 in favour of accepting the deal.
But Unite members rejected it by a margin of 62% to 38%.
Diageo, which is the world's largest producer of Scotch whisky, said it awaited confirmation from Unite of its position.
Unite, which has more than 700 members at Diageo sites around the UK, has yet to comment on the the outcome of its ballot.
However, it is understood union officials will be speaking to Unite representatives at Diageo in the coming days.
The GMB union's Scotland organiser, Louise Gilmour said: ""After a long campaign our members have voted strongly to accept this deal which means they will continue to have a pension scheme that ranks among the very best in the UK private sector.
""We will now sit down with Diageo and talk about the future to ensure the interests of our members are at the very heart of this hugely profitable global company that is so vital to the Scottish economy.""
In a statement, the company said it was committed to ""providing competitive and sustainable pensions"".
It said: ""In the last decade we have invested an additional Â£1.1bn into the final salary scheme over and above our normal employer contributions.
""With the costs of this scheme escalating, it is simply no longer sustainable.""
Diageo said it had held ""extensive talks"" since February with UK employees on proposed changes to the final salary scheme.
It added: ""The GMB trade union membership, our majority union, has accepted the company proposal.
""The minority union membership, Unite, has rejected the proposal and we await confirmation of their position.
""We will seek to engage in discussions with the GMB trade union and other employee representative forums to move forward on this proposal.""
In Scotland, Diageo runs 29 distilleries and two bottling plants at Leven in Fife and Shieldhall, Glasgow.
Its brands include Johnnie Walker, Bells, Talisker and Dalwhinnie.",Drinks giant Diageo could face industrial action after one of the two unions representing workers rejected a deal to end a dispute over pensions.
311,"The Great North Air Ambulance Service (GNAAS), which covers the North East, Cumbria and North Yorkshire, started the scheme in January 2015.
Since then, medics have performed 60 transfusions,  a third of which were deemed to have been of critical importance to survival.
Many others have had their outcomes improved by having the intervention.
Dr Rachel Hawes, who is also a doctor on the air ambulance, used her experiences as officer in the Army Reserve - including deployment in Afghanistan - as the basis for the idea for the scheme.
She said: ""About half of people with traumatic injuries who die, die from bleeding.
""Previously, stopping the bleeding could only be done in hospital, but one of the ways to buy yourself time is to replace the blood they're losing.""
Volunteers from Cumbria and Northumbria Blood Bikes deliver the blood in cool boxes to the helicopters daily.
Of those receiving transfusion, 83% were injured as a result of road traffic accidents, and the rest by incidents involving crushing and assaults, or heavy falls.
The Major Trauma Centre at Newcastle's Royal Victoria Infirmary received 60% of cases, with 30% going to 30% to Middlesbrough's James Cook University Hospital, and 10% to the Royal Preston Hospital.","Eighteen lives have been saved as a result of air ambulances carrying blood on board, the charity has said."
312,"After Brexit, that would obviously exclude London where the vast majority is currently done.
That has always been a major grievance for other European capitals who sense an opportunity to restart an old fight for a big prize.
London's financial district - or ""The City"" - is like a coral reef. It has grown into a complex ecosystem over hundreds of years with lots of specialist organisms feeding off each other.
The coral is home to plants and anemones which in turn are home to fish, and crustacea of dazzling variety.
Bankers and traders may be the apex predators but there are lawyers, accountants, insurance brokers and tech workers swimming around them.
It's very hard to replicate but that doesn't mean it can't be damaged. If you chip a bit off - you lose a few of the resident clownfish too.
That rather extended metaphor is perhaps one way to think about the subject of euro clearing. It's a very basic, boring and yet incredibly important bit of the reef.
Clearing is the process by which a third party organisation acts as an intermediary for both buyer and seller.
They deal with the clearing ""house"" rather than each other which centralises everything and makes the whole complex business easier and quicker. 75% of all everything bought and sold in euros - anywhere in the world - is cleared in London - some 850 billion euros EVERY DAY.
Clearing houses also bear the risks that once side of the transaction doesn't cough up.
In return for that risk, buyers and sellers have to keep money in a special account with the clearing house in case there are problems. The more business you do with them, the less money proportionately of your trading volumes you need to keep in that account. Bigger clearing houses are therefore cheaper for their customers.
If you start chipping bits off the reef and carting them off to Europe those costs could rise. Some estimates put the cost of fragmenting this bit of the reef at an additional 77bn euros to the people that use them.
It would cost UK jobs too. An Ernst and Young study last year estimated that over 80,000 UK jobs would go if euro-clearing moved from London.
Other financial centres have tried for years to steal this business. In fact, the European Central Bank in Frankfurt tried to insist that all euro trades in the EU were done inside the eurozone. A policy it had to scrap when the European Court of Justice ruled in 2015 it discriminated against non-eurozone countries who are part of the EU.
If that court case is run again once the UK is outside the EU, that defence no longer works.
This new raiding party is led by the EU Financial Services Commissioner Valdis Dombrovkis who is arguing that either the EU has greater policing powers over clearing in London (a cup of cold sick in political and regulatory terms) or, the business has to relocate to the EU (two cups).
It's not clear, however, that a defeat for London would be a victory for the EU. Some euro clearing also happens in the US and many think that the way firms will minimise the cost of disruption and fragmentation will be to do their business in New York - another big reef - which would only serve to weaken Europe as a whole in the global financial power league.
That is what Chancellor Philip Hammond was getting at when he warned that the UK and Europe ""should be careful of any proposals which might disrupt growth, raise the cost of investment in Europe and the UK or weaken financial stability"".
New York is watching closely on the sidelines as the battle for Britain's finance industry starts in earnest.",The EU Commission is mounting another attempt to steal trillions in trading business from London by insisting that euro denominated deals should be settled in the EU.
313,"The dead woman, who has not been named but is believed to be in her 50s, was found at a house in Holmfield Avenue on Saturday.
Mohammed Member, 25, Shafiq Member, 29, and Fatima Patel, 27, all of Holmfield Avenue, were remanded in custody ahead of a crown court appearance.
Formal identification of the dead woman has yet to take place.
Updates on this story and more from Leicestershire",Three people have appeared in court charged with murdering a woman at a house in Leicester.
314,"The department was subject to a Serious Case Review after the death of five-year-old Tyler Whelan, murdered by his mother's former partner in March 2011.
Ofsted found no children ""inadequately protected or at risk of significant harm"" and praised ""rapid improvements"".
Service director Sue Westcott said there was ""no room for complacency"".
The Conservative-led council had been subject to an Ofsted ""notice to improve"" since June 2010, following an inspection in March of that year.
A re-inspection of children's services in August 2011 again found the overall effectiveness of the department to be inadequate.
The review of the Tyler Whelan case, published in May last year, found it was one of many agencies that missed ""numerous opportunities"" for ""more rigorous and incisive"" interventions.
Elvis Lee, 34, kicked and bit Tyler Whelan, who died in hospital after collapsing at his home in Sheepwalk, Paston, near Peterborough.
The new rating of adequate by the education standards authority means the service ""meets minimum requirements"".
It follows an eight-day unannounced inspection of the department by five Ofsted officers in January.
""They found the lessons of the past had been taken very seriously and [the council] had invested considerably in additional social workers,"" Mrs Westcott said.
Investing in more staff meant the use of agency workers had been reduced and social workers' caseloads were now ""more manageable"", she added.
Nick Sandford, leader of the Liberal Democrat group on the city council, said: ""There were some really important issues surrounding child safety but the council has recognised those significant failures and addressed them.""
He described the improvements as ""encouraging"" but questioned whether the council could maintain the required level of investment.
Earlier this week city councillors agreed ??17m worth of cuts, including to children's play centres and adult social care services.
Mrs Westcott said: ""The money that's been invested [in children's services] has been absolutely worthwhile.""
Services are rated by Ofsted as inadequate, adequate, good or outstanding.","Children's services at Peterborough City Council have been rated as adequate by Ofsted, after two consecutive years of ""poor"" ratings."
315,"Wales beat Argentina 24-20 in a rugby autumn series game at the Principality Stadium, which kicked off at 17:30 GMT.
Chris Coleman's side drew 1-1 with Serbia in a football World Cup qualifier at Cardiff City Stadium.
Trains between Cardiff and Swansea are now running as normal, after earlier disruption.
Westgate Street, Park Street and Scott Road were closed from 15:30 to 20:30.
Following the Wales v Argentina match, Cowbridge Road East from its junction with Cathedral Road to the junction with Westgate Street, along with Castle Street, Duke Street, Wood Street and St Mary Street were all shut.
Cardiff council said train services into the city would be busy all day, with extra capacity on Marches, north Wales and Ebbw Vale lines after 21:30.
Cardiff Queen Street station closed at 18:45 and queues at Cardiff Central after the match are expected to exceed two hours.
After the Wales v Serbia match, Grangetown station will be for people travelling on Penarth, Barry and Vale of Glamorgan services only while Ninian Park Station will be for people travelling to Waun-gron Park, Fairwater and Danescourt.
For valleys and main line services, fans must use Cardiff Central.
Buses will be diverted away from city centre stops and will relocate to Churchill Way for those travelling east, Greyfriars Road for the north and Tudor Street for the west.
St Mary Street taxi rank was closed from 15:00 until 21:30 but the Mill Lane rank is open as normal.
Check if this is affecting your journey",People visiting Cardiff were warned to expect delays on the road and rail with Wales' rugby and football teams are both in action on Saturday.
316,"The personal tale came a week after Labour MP Jon Ashworth spoke in parliament about his experience of having an alcoholic father.
The NSPCC says it receives a call every hour from an adult concerned about drug or alcohol use around children, and it believes up to a million young people could be living with an alcoholic or drug dependent parent.
So how does it feel to grow up with an addicted parent? And what impact does it have beyond childhood?
Three people shared their stories with the BBC's Victoria Derbyshire programme.
Josh Connolly was nine when his father, an alcoholic, died.
Now 29, he says the experience left him full of anger, which he would often direct at other people, feeling shame at his father's behaviour but guilt for not standing by him.
""I tend to only remember a lot of the bad things and also the feelings,"" he said.
""That is what stayed with me through my life and is still tangible today; the way that my dad's drinking and everything that comes with that made me feel.""
Josh's experience led him to develop his own problems with drinking during his teenage years.
""I desperately wanted more than anything else in my life not to be an alcoholic, but when I was 12 or 13 and found alcohol, it just became the perfect escape route for me.
""I was never really able to look after my dad. At school I acted the clown, at home I am trying to be the best possible me that I could be, so alcohol gave me an escape from that.""
Jade Bailey's father was a heroin addict who took drugs around her from as far back as she could remember.
He began with cannabis and ecstasy, taking it with friends and telling his daughter it was ""medicine.""
But as she got older, he moved onto harder drugs.
""I knew it was never right and never their medicine,"" said the 25-year-old.
""I remember them going into the bathroom, I can even picture it now, and doing it, coming out and all being off their faces.
""When he went on to heroin, I was about ten years old and he was a mess. Our fun time on the weekend was going to the skip and trying to find toys.
""At that age, I thought it was amazing as my dad was always my hero.""
When Jade told her mother what had been happening when she went to visit, she stopped her from going and only let Jade contact her father by phone.
""I have never had that answer from him of why wasn't I enough to make [him] stop,"" she said. ""Why do you not love me enough to stop and be my dad?
""He knew how much I adored him and I knew he adored me, I knew I was the only thing he cared about, apart from the drug.
""It makes you feel very alone and abandoned by them, but you love them so much you can't ever leave them, no matter what they do.""
Sarah was brought up by her father, who is an alcoholic.
She said the drinking changed her relationship with him so much she had to walk away.
""In my early years, it was happy,"" she said. ""It made it harder when he turned to alcohol because I couldn't understand and it made it harder to walk away.
""I missed the old dad he was and always wished I could have the old dad back.""
Sarah never told anyone about his problem so had to deal with it alone.
She thinks the experience made her ""stronger, braver and more resilient to life's challenges"", but it affected her attitude towards alcohol.
""I always feel anxious when I am around drunk people,"" she said.
""It reminds me of the time I was looking after my dad, the feelings I got from that and the embarrassment, shame and sadness.""","Accepting a Bafta award for leading actor, Manchester by the Sea star Casey Affleck revealed to the audience he had grown up with an alcoholic parent."
317,"The Rushden Lakes development is due to open in spring 2017, with the 12-screen cinema completed a few months later.
LXB Properties have been granted permission for a bowling alley, climbing structure, cycle hire business and restaurants to replace a planned garden centre.
Local councils had objected, saying it threatened their town centres.
The Rushden Lakes plans have been criticised amid fears the development is could poach shoppers from towns as far away as Kettering, Corby, Northampton and Bedford.
Councils in Kettering and Bedford objected to the cinema and bowling alley.
The amended plans were considered and approved by East Northamptonshire District Council planners on Wednesday night.
A public inquiry in 2013 heard concerns about the development's impact on shops in nearby town centres.
However, council officers recommended that the plans should be approved.
Work on building the main shopping complex, given permission in June 2014 by Communities Secretary Eric Pickles, has already begun.",A cinema and bowling alley are to be added to a £140m shopping and leisure complex in Northamptonshire.
318,"Media playback is not supported on this device
Wada says Ukad will take control of drug-testing in Russia as long as the Russian Anti-Doping Agency (Rusada) remains non-compliant with Wada's code.
Rusada was declared non-compliant in November following allegations it was involved in widespread doping.
Its athletes remain banned from international competition.
That suspension was imposed on 13 November after the publication of an independent Wada report that alleged ""state-sponsored doping"".
The ban will remain in place until Russia convinces athletics authorities it has sufficiently changed its practices.
Wada's statement said Ukad would be responsible for co-ordinating testing with the appropriate sport federations in the country.
It added: ""Results management of all cases will be managed by a designated independent body, with full oversight by Wada.""","UK Anti-Doping will provide ""targeted and intelligence-led testing"" on Russian athletes after signing a deal with the World Anti-Doping Agency."
319,"Media playback is not supported on this device
The Black Cats' 10-season spell in the top flight ended when they lost 1-0 at home to Bournemouth on Saturday and Hull City drew 0-0 at Southampton.
Moyes, who took charge at Sunderland in July last year, has faced calls from supporters to step down.
""I think it's a question for two or three weeks' time,"" said the Scot.
""I think we all need to reflect and look at everything from top to bottom.""
Chairman Ellis Short, who has been trying to sell the club, apologised to Sunderland fans, and admitted mistakes had been made.
Since Short bought the club in 2009 - he became chairman in 2011 - the Black Cats have had seven full-time managers, but have faced the threat of relegation in almost every season.
""We need to improve both on and off the field, and despite the bitter disappointment there is a strong determination to do so throughout the club,"" said the American.
""There is significant work to be done over the summer and when the season is concluded, we intend to share our plans to move forward with our supporters.""
Listen as fans react to Sunderland's relegation on 606
This is the first time Moyes has been relegated as a manager, and he warned fans just two games into the the season that he thought they would struggle.
""I feel for the supporters because they're the people who pay their hard-earned cash to come and watch and we've not given them enough this season,"" said the former Everton and Manchester United manager.
""I've had 400-odd games in the Premier League and I've got an idea of what a good squad looks like.
""My feeling at the start of the season was it was going to be a hard graft, and I'd rather be up front with people than tell them something different.""
The defeat by Bournemouth was the ninth time Sunderland have failed to score in their past 10 games, and the 18th time they have failed to do so this season.
Jermain Defoe, the team's top scorer this season with 14, has not found the net in more than 15 hours of Premier League football.
""We've needed Jermain's goals,"" said Moyes.
""At times we haven't given him enough quality supply. But there has been other times, like today, when a couple of chances came. In the early part of the season he was getting them and finishing them.""
Moyes was given the Sunderland job after Sam Allardyce  left for his brief stint as England manager.
He has not been helped by injuries, with Jan Kirchhoff, Lee Cattermole, Duncan Watmore, Jordan Pickford, Paddy McNair and Victor Anichebe among the first-team players to have had lengthy spells on the sidelines.
Short said: ""I acknowledge that during my ownership mistakes have been made, particularly in the area of player recruitment, and as a result we have found ourselves struggling to survive in recent seasons.
""We had massive disruption during the summer transfer window, and an unprecedented number of injuries throughout the season.
""These are difficulties which we have been unable to overcome and we are paying the price for that now.""
Media playback is not supported on this device
Match of the Day pundit and former Newcastle striker Alan Shearer:
David Moyes has got to take responsibility as has the owner. It's been a disastrous season from start to finish. Mismanagement at all levels and they've signed some poor players. They've been flirting with relegations for a number of seasons and it was inevitable it was going to happen.
A £28m net spend in the last three transfer windows is comparable with teams in and around them, but I worry for Sunderland. There are two players that are assets in that team [Jordan Pickford and Jermain Defoe]. Other than that there's not too much in that squad that's worth a lot of money.
Match of the Day commentator John Motson:
A club badly managed from above for the last four years. At least three managers have got them out of it at the end of the season.
The rot set in at Sunderland a long time ago and it came right from the top.
I have no sympathy with them - they deserved to do down. I just hope somebody, whether it's David Moyes - a new owner perhaps - has got the opportunity to bring them back.
They have been a great club, they've got great fans but I'm afraid the way the club has been run, they've deserved what they got.
Former Premier League striker Jason Roberts:
Those Sunderland fans are seeing a team and a club that I think has lacked leadership from the boardroom.
That's why they have skipped from manager to manager with no real plan or identity.
Maybe they need to go down, refocus, bring in some young hungry players and give a new ""project"" to the Premier League because Sunderland are a huge club and if they come back up next season, they will be a club many will fear.","Sunderland manager David Moyes said it was ""too soon"" for him to commit to the club for next season, following their relegation from the Premier League."
320,"The incident happened in the Sighthill area of Glasgow at about 13:00 on Tuesday.
The officer had been speaking to the driver of a red Vauxhall Astra when he suddenly threw the car into reverse.
He then got out of his car in Alford Street and fled on foot. The police officer was unhurt.
A Police Scotland spokesman said: ""The officer did not require medical treatment and resumed duty following the incident. The man in the car then ran off.
""Police are following a positive line of inquiry.""
The Scottish Police Federation has been made aware of the incident.","An attempted murder inquiry has been launched after a driver reversed, dragging a police officer down the street."
